DATAFLOW,LAST UPDATE,freq,unit,c_resid,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AL,2020,260779,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2012,29727982,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2013,30126943,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2014,30563604,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2015,31649985,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2016,33376905,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2017,34495845,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2018,35797969,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2019,36803948,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2020,21035145,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,AT,2021,19157355,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2012,12777968,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2013,12982987,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2014,13363268,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2015,14464553,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2016,14097047,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2017,14869811,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2018,15922055,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2019,16344601,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2020,7084494,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BE,2021,10652706,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2012,5148958,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2013,5449861,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2014,5487630,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2015,5778450,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2016,6779561,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2017,7014462,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2018,7319217,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2019,7662976,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2020,3895825,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,BG,2021,5492091,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CH,2016,17318715,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CH,2017,18080046,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CH,2018,18939194,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CH,2019,19251275,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2012,2403848,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2013,2270327,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2014,2230539,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2015,2151222,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2016,2530572,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2017,2716755,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2018,2906265,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2019,2931731,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2020,1032465,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CY,2021,1969988,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2012,13548401,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2013,13748333,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,CZ,2014,13765376,
